dataset,slot_time,instance_number,energy_profile,exec_time,status,obj_value,obj_bound
B,12,1,2,0:01:39.390742,OPTIMAL,26246684461,26222498336
B,12,2,2,0:01:02.243949,OPTIMAL,26286026830,26235178618
B,12,3,2,0:01:08.559212,OPTIMAL,26237262055,26213749890
B,12,4,2,0:01:02.446891,OPTIMAL,26196202913,26162112256
B,12,5,2,0:01:02.320575,OPTIMAL,26251927407,26231740367
B,24,1,2,0:02:39.657656,OPTIMAL,41950874209,41921092710
B,24,2,2,0:02:25.979653,OPTIMAL,41944608268,41919892488
B,24,3,2,0:04:53.828974,OPTIMAL,41917172234,41882474379
B,24,4,2,0:02:11.606534,OPTIMAL,42055942654,41916466974
B,24,5,2,0:02:51.281535,OPTIMAL,41969075502,41936946895
B,48,1,2,0:08:13.716840,OPTIMAL,70188159636,70128933370
B,48,2,2,0:09:02.575464,OPTIMAL,70198111396,70122785051
B,96,1,2,0:31:03.479796,OPTIMAL,121283408469,121115170165
B,96,2,2,0:34:37.967558,OPTIMAL,121287782683,121125617734
B,96,3,2,0:53:06.171138,OPTIMAL,121438674627,121141937617
B,96,4,2,0:30:38.217316,OPTIMAL,121286696309,121060563775
B,96,5,2,0:50:19.894067,OPTIMAL,121198169981,121101784010
